transcript_id	tAI_cds
YMR056C_mRNA	0.257513000423449
YBR085W_mRNA	0.300332040147291
YJR155W_mRNA	0.543791627635493
YNL331C_mRNA	0.232604498916801
YOL165C_mRNA	0.375906616927961
YCR107W_mRNA	0.269372027020806
YDL243C_mRNA	0.322765301639545
YNL141W_mRNA	0.308998239808182
YHR047C_mRNA	0.4024827139298
YBL074C_mRNA	0.295267016074506
YKL106W_mRNA	0.394619569815886
YLR027C_mRNA	0.415309911482608
YBR236C_mRNA	0.414179359284951
YKL112W_mRNA	0.379916711348435
YMR072W_mRNA	0.408900601678878
YJR108W_mRNA	0.273453678689141
YCR088W_mRNA	0.399201404610647
YOR239W_pre-mRNA	0.319888614599943
YNR033W_mRNA	0.295692052784792
YMR289W_mRNA	0.307767096363559
YER045C_mRNA	0.303337896014653
YGR037C_mRNA	0.439552402796689
YNR016C_mRNA	0.368627585119803
YLR131C_mRNA	0.339453096594798
YLR144C_mRNA	0.398816021633154
YJR083C_mRNA	0.355659874760861
YBL015W_mRNA	0.312992472892718
YDL203C_mRNA	0.353800619571372
YPL267W_mRNA	0.359256475877244
YLR304C_mRNA	0.291242991118552
YJL200C_mRNA	0.375177764911458
YKL192C_mRNA	0.403541292664165
YAL054C_mRNA	0.347320564147147
YLR153C_mRNA	0.285789136963389
YFL039C_mRNA	0.34468422334113
YFL039C_pre-mRNA	0.330032068189738
YDR448W_mRNA	0.380078631756661
YMR184W_mRNA	0.35438023646117
YKL206C_mRNA	0.623156181052856
YAR015W_mRNA	0.358661439934607
YNL220W_mRNA	0.355285022125606
YLR359W_mRNA	0.293912156160388
YLR028C_mRNA	0.396670635769073
YMR120C_mRNA	0.499843888118297
YOR128C_mRNA	0.336721223668177
YGR204W_mRNA	0.313452206135828
YMR300C_mRNA	0.351560106489775
YGL234W_mRNA	0.280708895413763
YGR061C_mRNA	0.360682536112612
YDR408C_mRNA	0.282068354492512
YCL058W-A_mRNA	0.337005832971237
YOL086C_mRNA	0.316958971841253
YMR303C_mRNA	0.293135209811816
YMR083W_mRNA	0.36979904384834
YGL256W_mRNA	0.326743423516833
